score,info_tokens,lives,deck,moves_left,fives,fours,threes,twos,num_players,discard,play,tell_colour,tell_value,final_score
0,8,3,30,6,0,0,0,0,5,0,0,0,1,7
0,7,3,30,6,0,0,0,0,5,0,0,0,1,7
0,6,3,30,6,0,0,0,0,5,0,0,1,0,7
0,5,3,30,6,0,0,0,0,5,0,0,0,1,7
0,4,3,30,6,0,0,0,0,5,0,1,0,0,7
1,4,3,29,6,0,0,0,0,5,0,0,1,0,7
1,3,3,29,6,0,0,0,0,5,0,0,0,1,7
1,2,3,29,6,0,0,0,0,5,0,0,1,0,7
1,1,3,29,6,0,0,0,0,5,0,0,1,0,7
1,0,3,29,6,0,0,0,0,5,0,1,0,0,7
2,0,3,28,6,0,0,0,0,5,1,0,0,0,7
2,1,3,27,6,0,0,0,0,5,0,0,0,1,7
2,0,3,27,6,0,0,0,0,5,1,0,0,0,7
2,1,3,26,6,0,0,0,0,5,0,0,1,0,7
2,0,3,26,6,0,0,0,0,5,1,0,0,0,7
2,1,3,25,6,0,0,0,0,5,0,0,0,1,7
2,0,3,25,6,0,0,0,0,5,0,1,0,0,7
2,0,2,24,6,0,0,0,0,5,1,0,0,0,7
2,1,2,23,6,0,0,0,0,5,0,1,0,0,7
3,1,2,22,6,0,0,0,0,5,0,0,0,1,7
3,0,2,22,6,0,0,0,0,5,1,0,0,0,7
3,1,2,21,6,0,0,0,0,5,0,0,0,1,7
3,0,2,21,6,0,0,0,0,5,1,0,0,0,7
3,1,2,20,6,0,0,0,0,5,0,0,0,1,7
3,0,2,20,6,0,0,0,0,5,1,0,0,0,7
3,1,2,19,6,0,0,0,0,5,0,0,0,1,7
3,0,2,19,6,0,0,0,0,5,0,1,0,0,7
3,0,1,18,6,0,0,0,0,5,1,0,0,0,7
3,1,1,17,6,0,0,0,0,5,0,0,1,0,7
3,0,1,17,6,0,0,0,0,5,0,1,0,0,7
4,0,1,16,6,0,0,0,0,5,1,0,0,0,7
4,1,1,15,6,0,0,0,0,5,0,0,0,1,7
4,0,1,15,6,0,0,0,0,5,1,0,0,0,7
4,1,1,14,6,0,0,0,0,5,0,0,0,1,7
4,0,1,14,6,0,0,0,0,5,0,1,0,0,7
5,0,1,13,6,0,0,0,1,5,1,0,0,0,7
5,1,1,12,6,0,0,0,1,5,0,0,0,1,7
5,0,1,12,6,0,0,0,1,5,1,0,0,0,7
5,1,1,11,6,0,0,0,1,5,0,0,0,1,7
5,0,1,11,6,0,0,0,1,5,0,1,0,0,7
6,0,1,10,6,0,0,1,1,5,1,0,0,0,7
6,1,1,9,6,0,0,1,1,5,0,0,0,1,7
6,0,1,9,6,0,0,1,1,5,1,0,0,0,7
6,1,1,8,6,0,0,1,1,5,0,0,0,1,7
6,0,1,8,6,0,0,1,1,5,0,1,0,0,7
7,0,1,7,6,0,1,1,1,5,1,0,0,0,7
7,1,1,6,6,0,1,1,1,5,0,1,0,0,7
0,8,3,35,4,0,0,0,0,3,0,0,0,1,18
0,7,3,35,4,0,0,0,0,3,0,1,0,0,18
1,7,3,34,4,0,0,0,0,3,0,0,0,1,18
1,6,3,34,4,0,0,0,0,3,0,1,0,0,18
2,6,3,33,4,0,0,0,0,3,0,0,0,1,18
2,5,3,33,4,0,0,0,0,3,1,0,0,0,18
2,6,3,32,4,0,0,0,0,3,0,0,0,1,18
2,5,3,32,4,0,0,0,0,3,0,0,1,0,18
2,4,3,32,4,0,0,0,0,3,0,1,0,0,18
3,4,3,31,4,0,0,0,0,3,0,0,0,1,18
